water_year,Winter_Precip_mm
2015,31.96
2016,131.60000000000002
2017,312.07
2018,193.73999999999998
2019,567.02
2020,203.65
2021,100.28
2022,176.70999999999998
2023,434.40999999999997
2024,260.84
2025,69.29
